1,v_Surfing_g23_c03
1,v_Surfing_g15_c07
1,v_Surfing_g10_c03
1,v_Surfing_g01_c06
1,v_Surfing_g17_c01
1,v_Surfing_g01_c03
1,v_Surfing_g20_c06
1,v_Surfing_g15_c02
1,v_Surfing_g25_c01
1,v_Surfing_g24_c03
1,v_Surfing_g20_c04
1,v_Surfing_g16_c05
1,v_Surfing_g18_c04
1,v_Surfing_g19_c01
1,v_Surfing_g06_c04
1,v_Surfing_g25_c03
1,v_Surfing_g22_c04
1,v_Surfing_g02_c01
1,v_Surfing_g13_c05
1,v_Surfing_g16_c06
1,v_Surfing_g21_c01
1,v_Surfing_g22_c01
1,v_Surfing_g06_c01
1,v_Surfing_g11_c02
1,v_Surfing_g09_c05
1,v_Surfing_g15_c01
1,v_Surfing_g05_c03
1,v_Surfing_g17_c03
1,v_Surfing_g11_c03
1,v_Surfing_g01_c01
1,v_Surfing_g02_c06
1,v_Surfing_g15_c06
1,v_Surfing_g18_c01
1,v_Surfing_g17_c02
1,v_Surfing_g11_c04
1,v_Surfing_g12_c05
1,v_Surfing_g09_c03
1,v_Surfing_g19_c02
1,v_Surfing_g18_c02
1,v_Surfing_g07_c02
1,v_Surfing_g18_c03
1,v_Surfing_g21_c04
1,v_Surfing_g24_c04
1,v_Surfing_g20_c05
1,v_Surfing_g25_c02
1,v_Surfing_g10_c04
1,v_Surfing_g20_c03
1,v_Surfing_g13_c04
1,v_Surfing_g10_c06
1,v_Surfing_g08_c07
1,v_Surfing_g12_c01
1,v_Surfing_g21_c03
1,v_Surfing_g11_c01
1,v_Surfing_g16_c01
1,v_Surfing_g15_c03
1,v_Surfing_g10_c01
1,v_Surfing_g01_c02
1,v_Surfing_g08_c04
1,v_Surfing_g07_c04
1,v_Surfing_g19_c04
1,v_Surfing_g24_c02
1,v_Surfing_g17_c05
1,v_Surfing_g03_c04
1,v_Surfing_g04_c04
1,v_Surfing_g02_c03
1,v_Surfing_g12_c03
1,v_Surfing_g09_c02
1,v_Surfing_g13_c02
1,v_Surfing_g16_c02
1,v_Surfing_g09_c01
1,v_Surfing_g23_c04
1,v_Surfing_g02_c02
1,v_Surfing_g14_c04
1,v_Surfing_g04_c03
1,v_Surfing_g05_c01
1,v_Surfing_g13_c01
1,v_Surfing_g14_c01
1,v_Surfing_g12_c06
1,v_Surfing_g12_c07
1,v_Surfing_g05_c02
